# pre-flip -> post-flip sha map, saltworks
# derived by docs/ledger-tools/flipmap.sh from refs/pre-flip/master (2b9dd57) -> HEAD (19c59a1)
# validated 5/5 against the helm citation-law pairs of 08/16 19:20
# columns: pre<TAB>post<TAB>key-strength   -- date-only rows rest on WEAKER evidence
1699de3	ed9b3ed	date+subject
169eaf5	a2ab770	date+subject
16a0990	ee49032	date+subject
16a58c4	b8a57a3	date+subject
16afbf4	2cf0c17	date+subject
16d4007	47629ea	date+subject
16d40c1	bca6864	date+subject
16d4f37	526d135	date+subject
16e66ce	509de38	date+subject
16efae8	49ca123	date+subject
16fc5a9	414f311	date+subject
1735c44	9eb9467	date+subject
1747bd8	53b01dc	date+subject
178b6c9	8a81793	date+subject
17a7911	daf4c13	date+subject
17b20ff	1f05dc2	date+subject
17b47b5	abc8c68	date+subject
17d9bbc	8d81c1e	date+subject
1831725	85ba820	date+subject
1832bc2	cd999b8	date+subject
1856985	84ce668	date+subject
1866571	ae8de32	date+subject
18a7ef6	a5f2c95	date+subject
18b1299	dc551c4	date+subject
190176e	b31955a	date+subject
190b6a4	d02dbe2	date+subject
19129c4	b16e885	date+subject
1916c44	ddaf0b5	date+subject
196aa56	6467323	date+subject
198200e	e372d1a	date+subject
1988c36	459c93b	date+subject
199504c	ec41ef7	date+subject
19b7898	84307a5	date+subject
19df872	db12648	date+subject
19f3551	04e59f2	date+subject
1a1570a	7356db2	date+subject
1a2ba2c	419b5f2	date+subject
1a32c1d	e0a33d7	date+subject
1a36020	531da95	date+subject
1a70c99	2984099	date+subject
1a8e1fe	f372135	date+subject
1a92292	cf96b72	date+subject
1acaa66	6a2ff5e	date+subject
1b5453c	f67b1fd	date+subject
1b87d6e	0cf431b	date+subject
1b8f8de	09d5b6b	date+subject
1bb4038	6f0b3a5	date+subject
1bc253f	03b23ce	date+subject
1bef849	9ca6da0	date+subject
1c0ca5e	2c4cde0	date+subject
1c1a02e	c5cdef6	date+subject
1c2c880	2311ef9	date+subject
1c3a5af	b6291f3	date+subject
1c45c1e	6ffdc89	date+subject
1c52970	9ba1fca	date+subject
1c8ce8b	829fe3b	date+subject
1c8d8f3	7118f12	date+subject
1ca9fba	1a86a82	date+subject
1cba4a0	093482a	date+subject
1d25aa1	07419eb	date+subject
1d2b9a5	c4fa3fd	date+subject
1d62a71	2eb23f0	date+subject
1d92cfa	c59d94f	date+subject
1d93f10	2af3df6	date+subject
1d9e7d6	994fa2d	date+subject
1db3be8	18b4423	date+subject
1ddae9f	a1f5fd2	date+subject
1e08eeb	60e22d8	date+subject
1e16916	03ef46d	date+subject
1e2f040	47a8790	date+subject
1e62916	152b1a3	date+subject
1ea37ef	b52a74b	date+subject
1f14fe9	54762a9	date+subject
1f19297	433a3cd	date+subject
1f203f3	fad9863	date+subject
1f42242	706289f	date+subject
1f42c23	629487b	date+subject
