instance	cell_type	group	function_color	provenance_color
_2276_	o21ba_2		core_combinational	agent_written
_2277_	a221o_2		core_combinational	agent_written
_2278_	o21a_2		core_combinational	agent_written
_2279_	o21ba_2		core_combinational	agent_written
_2280_	a221o_2		core_combinational	agent_written
_2281_	o21a_2		core_combinational	agent_written
_2282_	o21ba_2		core_combinational	agent_written
_2283_	a221o_2		core_combinational	agent_written
_2284_	o21a_2		core_combinational	agent_written
_2285_	nand2b_2		core_combinational	agent_written
_2286_	or2_2		core_combinational	agent_written
_2287_	nor3_2		core_combinational	agent_written
_2288_	and4bb_2		core_combinational	agent_written
_2289_	nand2_2		core_combinational	agent_written
_2290_	or4_2		core_combinational	agent_written
_2291_	nand2_2		core_combinational	agent_written
_2292_	or4_2		core_combinational	agent_written
_2293_	nor4_2		core_combinational	agent_written
_2294_	and4bb_2		core_combinational	agent_written
_2295_	or4bb_2		core_combinational	agent_written
_2296_	or4bb_2		core_combinational	agent_written
_2297_	and2_2		core_combinational	agent_written
_2298_	nand2_2		core_combinational	agent_written
_2299_	nor3_2		core_combinational	agent_written
_2300_	or3_2		core_combinational	agent_written
_2301_	nor3b_2		core_combinational	agent_written
_2302_	and4_2		core_combinational	agent_written
_2303_	a211o_2		core_combinational	agent_written
_2304_	and3_2		core_combinational	agent_written
_2305_	nand3_2		core_combinational	agent_written
_2306_	nor2_2		core_combinational	agent_written
_2307_	and4_2		core_combinational	agent_written
_2308_	or3b_2		core_combinational	agent_written
_2309_	o21a_2		core_combinational	agent_written
_2310_	mux4_2		core_mux	agent_written
_2311_	a21o_2		core_combinational	agent_written
_2312_	mux4_2		core_mux	agent_written
_2313_	and2_2		core_combinational	agent_written
_2314_	nand2_2		core_combinational	agent_written
_2315_	mux4_2		core_mux	agent_written
_2316_	o221a_2		core_combinational	agent_written
_2317_	nor3b_2		core_combinational	agent_written
_2318_	nor4b_2		core_combinational	agent_written
_2319_	nor3_2		core_combinational	agent_written
_2320_	a22o_2		core_combinational	agent_written
_2321_	a221o_2		core_combinational	agent_written
_2322_	mux4_2		core_mux	agent_written
_2323_	and2b_2		core_combinational	agent_written
_2324_	mux2_1		core_mux	agent_written
_2325_	nor2_2		core_combinational	agent_written
_2326_	mux2_1		core_mux	agent_written
_2327_	a221o_2		core_combinational	agent_written
_2328_	a21oi_2		core_combinational	agent_written
_2329_	and2b_2		core_combinational	agent_written
_2330_	mux2_1		core_mux	agent_written
_2331_	a22o_2		core_combinational	agent_written
_2332_	and2_2		core_combinational	agent_written
_2333_	mux2_1		core_mux	agent_written
_2334_	nand2_2		core_combinational	agent_written
_2335_	mux2_1		core_mux	agent_written
_2336_	a22oi_2		core_combinational	agent_written
_2337_	a31o_2		core_combinational	agent_written
_2338_	nor2_2		core_combinational	agent_written
_2339_	a21oi_2		core_combinational	agent_written
_2340_	xnor2_2		core_combinational	agent_written
_2341_	nand2_2		core_combinational	agent_written
_2342_	and2b_2		core_combinational	agent_written
_2343_	mux4_2		core_mux	agent_written
_2344_	a22o_2		core_combinational	agent_written
_2345_	mux4_2		core_mux	agent_written
_2346_	a22o_2		core_combinational	agent_written
_2347_	mux2_1		core_mux	agent_written
_2348_	and2b_2		core_combinational	agent_written
_2349_	a21bo_2		core_combinational	agent_written
_2350_	a21o_2		core_combinational	agent_written
_2351_	o211a_2		core_combinational	agent_written
_2352_	a22o_2		core_combinational	agent_written
_2353_	nor3_2		core_combinational	agent_written
_2354_	mux4_2		core_mux	agent_written
_2355_	mux2_1		core_mux	agent_written
_2356_	mux2_1		core_mux	agent_written
_2357_	a22o_2		core_combinational	agent_written
_2358_	a211o_2		core_combinational	agent_written
_2359_	or2_2		core_combinational	agent_written
_2360_	nand2b_2		core_combinational	agent_written
_2361_	a32o_2		core_combinational	agent_written
_2362_	mux2_1		core_mux	agent_written
_2363_	nand2b_2		core_combinational	agent_written
_2364_	or2_2		core_combinational	agent_written
_2365_	a32o_2		core_combinational	agent_written
_2366_	a211o_2		core_combinational	agent_written
_2367_	and2_2		core_combinational	agent_written
_2368_	nor2_2		core_combinational	agent_written
_2369_	or2_2		core_combinational	agent_written
_2370_	o21a_2		core_combinational	agent_written
_2371_	and2_2		core_combinational	agent_written
_2372_	mux4_2		core_mux	agent_written
_2373_	a21o_2		core_combinational	agent_written
_2374_	mux4_2		core_mux	agent_written
_2375_	mux4_2		core_mux	agent_written
_2376_	o221a_2		core_combinational	agent_written
_2377_	a22o_2		core_combinational	agent_written
_2378_	a221o_2		core_combinational	agent_written
_2379_	inv_2		core_combinational	agent_written
_2380_	mux4_2		core_mux	agent_written
_2381_	mux2_1		core_mux	agent_written
_2382_	mux2_1		core_mux	agent_written
_2383_	a22o_2		core_combinational	agent_written
_2384_	a21oi_2		core_combinational	agent_written
_2385_	mux2_1		core_mux	agent_written
_2386_	a221oi_2		core_combinational	agent_written
_2387_	a21bo_2		core_combinational	agent_written
_2388_	a21oi_2		core_combinational	agent_written
_2389_	nand2_2		core_combinational	agent_written
_2390_	nand2_2		core_combinational	agent_written
_2391_	a31o_2		core_combinational	agent_written
_2392_	o32a_2		core_combinational	agent_written
_2393_	a21oi_2		core_combinational	agent_written
_2394_	nand2_2		core_combinational	agent_written
_2395_	inv_2		core_combinational	agent_written
_2396_	or2_2		core_combinational	agent_written
_2397_	and2_2		core_combinational	agent_written
_2398_	a22o_2		core_combinational	agent_written
_2399_	a22o_2		core_combinational	agent_written
_2400_	mux4_2		core_mux	agent_written
